player_id,player_name
9758,Kyle Hendricks
9761,Roberto Pérez
9762,Christian Vázquez
9771,Chris Taylor
9775,Matt Duffy
9779,Héctor Neris
9782,Andrew Chafin
9783,Trevor May
9784,Michael A. Taylor
9799,Chris Bassitt
9815,Yimi García
9818,James McCann
9821,Kendall Graveman
9823,Carlos Rodón
9842,Tommy Pham
9846,Christian Walker
9858,Manuel Margot
9860,Billy McKinney
9861,Kyle Schwarber
9863,Kyle Freeland
9864,Raimel Tapia
9868,Sean Newcomb
9871,Orlando Arcia
9872,José Berríos
9875,Michael Conforto
9876,Brandon Nimmo
9877,Aaron Judge
9879,Luis Severino
9882,Aaron Nola
9883,Josh Bell
9889,Hunter Renfroe
9890,Christian Arroyo
9892,Alex Reyes
9893,Willy Adames
9896,Jeff Hoffman
9897,Tim Anderson
9898,Mark Canha
9900,Yoán Moncada
9902,Raisel Iglesias
9903,Miguel Castro
9904,Matt Andriese
9906,Odúbel Herrera
9907,Roberto Osuna
9916,Keone Kela
9931,José Ureña
9938,Hansel Robles
9949,Michael Lorenzen (Pitcher)
9961,Travis Shaw
9971,Austin Barnes
9975,Hanser Alberto
9976,Chi Chi González
9987,Joe Ross
9989,Junior Guerra
9991,Gio Urshela
9992,Vince Velasquez
10000,Nomar Mazara
10003,Mychal Givens
10011,Matthew Boyd
10027,Frankie Montas
10031,Tyler Anderson
10036,Ketel Marte
10039,Tyler Duffey
10056,Trea Turner
10069,Domingo Germán
10070,Zach Davies
10076,Elias Díaz
10077,Pedro Severino
10095,Max Kepler
10098,Adrian Houser
10105,Kenta Maeda
10119,Mike Yastrzemski
10121,Tyler Naquin
10122,Erik González
10123,Adam Plutko
10124,JaCoby Jones
10130,Nick Wittgren
10131,Josh Hader
10133,Taylor Rogers
10137,Renato Núñez
10138,Chad Pinder
10141,Zach Eflin
10143,Chad Kuhl
10144,Trevor Williams
10147,Ryan Yarbrough
10148,Blake Snell
10157,Trey Mancini
10159,Andrew Benintendi
10165,Duane Underwood Jr.
10166,Willson Contreras
10171,Amir Garrett
10175,Ryan McMahon
10176,Antonio Senzatela
10179,Michael Fulmer
10180,Spencer Turnbull
10183,Alex Bregman
10185,Joe Musgrove
10186,J.D. Davis
10188,José De León
10193,Brian Anderson
10195,Tyrone Taylor
10205,Matt Chapman
10207,Harold Ramirez
10213,Sam Coonrod
10214,Edwin Díaz
10215,Tyler O'Neill
10217,Luke Weaver
10218,Brent Honeywell Jr.
10227,Victor Robles
10229,Erick Fedde
10230,Brendan Rodgers
10233,Amed Rosario
10234,Dansby Swanson
10235,Rafael Devers
10236,Gleyber Torres
10237,Ozzie Albies
10245,Aledmys Díaz
10256,Luis Cessa
10258,Ross Stripling
10259,John Gant
10287,J.B. Wendelken
10293,Chad Green
10296,Mike Clevinger
10297,Alec Mills
10298,Whit Merrifield
10311,Chris Stratton
10318,Jacob Stallings
10322,Adam Frazier
10326,Seth Lugo
10328,Jeimer Candelario
10336,José Leclerc
10337,Omar Narváez
10338,Dylan Floro
10344,Yuli Gurriel
10350,Mike Mayers
10352,Guillermo Heredia
10366,Teoscar Hernández
10369,Mitch Haniger
10370,Brent Suter
10380,Joey Wendle
10391,Wandy Peralta
10395,Carson Kelly
10402,Germán Márquez
10406,Joely Rodríguez
10412,Michael Kopech
10418,Brad Keller
10420,Austin Riley
10423,Mike Soroka
10424,Ian Anderson
10429,Ryan Mountcastle
10432,Tanner Scott
10433,Michael Chavis
10438,Dylan Cease
10439,Eloy Jiménez
10440,Ian Happ
10450,Zack Collins
10451,Dane Dunning
10453,Nick Senzel
10455,Tyler Mahle
10456,Tyler Stephenson
10457,Francisco Mejía
10461,Bobby Bradley
10462,Triston McKenzie
10463,Nolan Jones
10465,Yandy Díaz
10474,Matt Manning
10479,Forrest Whitley
10480,Kyle Tucker
10492,Josh Staumont
10494,Jakob Junis
10499,Brandon Marsh
10502,David Fletcher
10504,Cody Bellinger
10505,Alex Verdugo
10506,Willie Calhoun
10509,Walker Buehler
10511,Gavin Lux
10514,Luis Castillo
10521,Jacob Nottingham
10522,Trent Grisham
10524,Mauricio Dubón
10532,Alex Kirilloff
10534,Justin Dunn
10542,Justus Sheffield
10544,Miguel Andújar
10548,A.J. Puk
10556,Rhys Hoskins
10558,Scott Kingery
10564,Kevin Newman
10565,Mitch Keller
10566,Ke'Bryan Hayes
10570,Luis Urías
10572,Josh Naylor
10573,Cal Quantrill
10574,Adrian Morejon
